run_id,graph_file,trail_file,edge_count,avg_edge_weight,min_edge_weight,max_edge_weight,oht_event_count,foup_event_count,total_event_count,min_event_time,max_event_time,duration
1,full_graph1.csv,trail1.pickle,168,5.622023809523809,3.0,11.5,860501,49157,909658,338,93669,93331
2,full_graph2.csv,trail2.pickle,168,5.6398809523809526,3.0,10.5,867892,49634,917526,241,94066,93825
3,full_graph3.csv,trail3.pickle,168,5.642857142857143,3.0,10.5,860731,48968,909699,459,93875,93416
4,full_graph4.csv,trail4.pickle,168,5.744047619047619,3.0,12.0,849103,50305,899408,547,94252,93705
5,full_graph5.csv,trail5.pickle,168,5.622023809523809,3.0,12.0,864995,49717,914712,384,94030,93646
6,full_graph6.csv,trail6.pickle,168,6.023809523809524,3.0,12.5,853893,49916,903809,220,94133,93913
7,full_graph7.csv,trail7.pickle,168,5.916666666666667,3.0,11.0,849187,49597,898784,874,93985,93111
8,full_graph8.csv,trail8.pickle,168,5.967261904761905,3.0,11.5,866747,49058,915805,714,93544,92830
9,full_graph9.csv,trail9.pickle,168,5.824404761904762,3.0,11.0,854274,49708,903982,375,94234,93859
10,full_graph10.csv,trail10.pickle,168,5.883928571428571,3.0,11.5,852456,50083,902539,401,93652,93251
11,full_graph11.csv,trail11.pickle,168,6.074404761904762,3.0,12.0,853344,49473,902817,616,93902,93286
12,full_graph12.csv,trail12.pickle,168,6.0,3.0,12.5,851566,49848,901414,1129,94498,93369
13,full_graph13.csv,trail13.pickle,168,6.068452380952381,3.0,11.5,853733,49741,903474,213,94580,94367
14,full_graph14.csv,trail14.pickle,168,6.357142857142857,3.0,14.5,876523,49636,926159,325,93767,93442
15,full_graph15.csv,trail15.pickle,168,6.261904761904762,3.0,12.5,874604,49523,924127,760,93813,93053
16,full_graph16.csv,trail16.pickle,168,6.086309523809524,3.0,13.5,869077,49592,918669,197,93870,93673
17,full_graph17.csv,trail17.pickle,168,6.604166666666667,3.0,15.0,858196,49707,907903,1034,94487,93453
18,full_graph18.csv,trail18.pickle,168,6.517857142857143,3.0,12.5,858005,49741,907746,713,95922,95209
19,full_graph19.csv,trail19.pickle,168,6.660714285714286,3.0,14.5,856021,49699,905720,209,94293,94084
20,full_graph20.csv,trail20.pickle,168,6.446428571428571,3.0,12.5,851451,49775,901226,229,93780,93551
21,full_graph21.csv,trail21.pickle,168,6.386904761904762,3.0,12.5,861190,49838,911028,542,94075,93533
22,full_graph22.csv,trail22.pickle,168,6.592261904761905,3.0,12.5,875438,50100,925538,334,94517,94183
23,full_graph23.csv,trail23.pickle,168,6.3898809523809526,3.0,16.0,857884,49835,907719,621,94119,93498
24,full_graph24.csv,trail24.pickle,168,6.824404761904762,3.0,13.0,874584,49360,923944,123,94178,94055
25,full_graph25.csv,trail25.pickle,168,6.934523809523809,3.0,12.5,852300,48861,901161,787,93453,92666
26,full_graph26.csv,trail26.pickle,168,5.532738095238095,3.0,8.5,897846,52410,950256,565,94989,94424
27,full_graph27.csv,trail27.pickle,168,5.752976190476191,3.0,12.5,900780,51845,952625,660,94459,93799
28,full_graph28.csv,trail28.pickle,168,5.738095238095238,3.0,11.5,889220,52044,941264,527,95315,94788
29,full_graph29.csv,trail29.pickle,168,5.675595238095238,3.0,11.5,875343,52324,927667,1107,94837,93730
30,full_graph30.csv,trail30.pickle,168,5.645833333333333,3.0,11.0,894135,52575,946710,116,95913,95797
31,full_graph31.csv,trail31.pickle,168,5.675595238095238,3.0,11.5,893685,52185,945870,594,95394,94800
32,full_graph32.csv,trail32.pickle,168,6.083333333333333,3.0,11.5,875260,52384,927644,552,95186,94634
33,full_graph33.csv,trail33.pickle,168,5.8898809523809526,3.0,12.5,882822,52312,935134,671,96228,95557
34,full_graph34.csv,trail34.pickle,168,5.720238095238095,3.0,11.5,889045,52212,941257,154,95411,95257
35,full_graph35.csv,trail35.pickle,168,6.380952380952381,3.0,14.5,890631,51603,942234,141,95510,95369
36,full_graph36.csv,trail36.pickle,168,5.75,3.0,12.0,891378,52363,943741,32,95842,95810
37,full_graph37.csv,trail37.pickle,168,5.943452380952381,3.0,12.5,891441,52306,943747,269,94917,94648
38,full_graph38.csv,trail38.pickle,168,6.068452380952381,3.0,12.0,885625,52248,937873,166,95356,95190
39,full_graph39.csv,trail39.pickle,168,6.383928571428571,3.0,16.0,908368,52219,960587,397,95035,94638
40,full_graph40.csv,trail40.pickle,168,6.357142857142857,3.0,12.0,891162,52449,943611,571,95840,95269
41,full_graph41.csv,trail41.pickle,168,6.568452380952381,3.0,12.5,908402,51775,960177,43,94007,93964
42,full_graph42.csv,trail42.pickle,168,6.348214285714286,3.0,14.5,887587,52550,940137,444,95513,95069
43,full_graph43.csv,trail43.pickle,168,6.886904761904762,3.0,15.0,886874,52421,939295,477,95268,94791
44,full_graph44.csv,trail44.pickle,168,6.458333333333333,3.0,14.0,886940,52310,939250,445,95357,94912
45,full_graph45.csv,trail45.pickle,168,6.425595238095238,3.0,12.5,906602,52570,959172,467,95034,94567
46,full_graph46.csv,trail46.pickle,168,6.538690476190476,3.0,14.5,908587,52289,960876,133,96273,96140
47,full_graph47.csv,trail47.pickle,168,6.910714285714286,3.0,14.5,887076,52388,939464,93,94947,94854
48,full_graph48.csv,trail48.pickle,168,6.752976190476191,3.0,13.5,887613,52214,939827,640,94642,94002
49,full_graph49.csv,trail49.pickle,168,6.782738095238095,3.0,14.5,869892,51794,921686,201,93671,93470
50,full_graph50.csv,trail50.pickle,168,6.970238095238095,3.0,14.5,866819,52074,918893,399,95167,94768
51,full_graph51.csv,trail51.pickle,168,5.633928571428571,3.0,11.0,916890,54677,971567,194,95026,94832
52,full_graph52.csv,trail52.pickle,168,5.729166666666667,3.0,11.0,913838,54747,968585,343,95396,95053
53,full_graph53.csv,trail53.pickle,168,5.604166666666667,3.0,11.5,945134,54885,1000019,574,97300,96726
54,full_graph54.csv,trail54.pickle,168,5.5773809523809526,3.0,10.0,924882,54927,979809,227,95707,95480
55,full_graph55.csv,trail55.pickle,168,5.6398809523809526,3.0,11.5,922372,54573,976945,478,95804,95326
56,full_graph56.csv,trail56.pickle,168,5.877976190476191,3.0,11.5,934097,54696,988793,634,96194,95560
57,full_graph57.csv,trail57.pickle,168,5.866071428571429,3.0,12.5,949770,54269,1004039,420,97116,96696
58,full_graph58.csv,trail58.pickle,168,6.1101190476190474,3.0,11.5,915333,54993,970326,580,97008,96428
59,full_graph59.csv,trail59.pickle,168,6.068452380952381,3.0,12.0,918535,54471,973006,513,94740,94227
60,full_graph60.csv,trail60.pickle,168,5.949404761904762,3.0,13.0,948003,54864,1002867,772,97931,97159
61,full_graph61.csv,trail61.pickle,168,6.125,3.0,12.0,932090,54189,986279,939,96973,96034
62,full_graph62.csv,trail62.pickle,168,6.122023809523809,3.0,13.5,921257,54426,975683,542,95672,95130
63,full_graph63.csv,trail63.pickle,168,5.791666666666667,3.0,12.0,944543,54858,999401,340,96321,95981
64,full_graph64.csv,trail64.pickle,168,6.193452380952381,3.0,12.0,912330,54629,966959,1118,96035,94917
65,full_graph65.csv,trail65.pickle,168,6.336309523809524,3.0,15.5,929776,54512,984288,410,95656,95246
66,full_graph66.csv,trail66.pickle,168,6.342261904761905,3.0,12.5,931743,54817,986560,243,95632,95389
67,full_graph67.csv,trail67.pickle,168,6.345238095238095,3.0,12.5,920957,54559,975516,609,97220,96611
68,full_graph68.csv,trail68.pickle,168,6.127976190476191,3.0,11.5,932547,54864,987411,485,98095,97610
69,full_graph69.csv,trail69.pickle,168,6.556547619047619,3.0,12.5,906774,54355,961129,687,95469,94782
70,full_graph70.csv,trail70.pickle,168,6.630952380952381,3.0,15.5,933989,55230,989219,1080,98087,97007
71,full_graph71.csv,trail71.pickle,168,6.982142857142857,3.0,16.0,916293,54721,971014,544,96359,95815
72,full_graph72.csv,trail72.pickle,168,6.217261904761905,3.0,12.5,937896,54385,992281,513,96386,95873
73,full_graph73.csv,trail73.pickle,168,6.6398809523809526,3.0,13.0,905430,54421,959851,690,96919,96229
74,full_graph74.csv,trail74.pickle,168,6.726190476190476,3.0,12.5,950801,55426,1006227,411,98221,97810
75,full_graph75.csv,trail75.pickle,168,7.160714285714286,3.0,15.0,922141,54827,976968,533,95141,94608
76,full_graph76.csv,trail76.pickle,168,5.523809523809524,3.0,8.0,953718,57136,1010854,599,96909,96310
77,full_graph77.csv,trail77.pickle,168,5.5773809523809526,3.0,11.0,966664,56741,1023405,365,96927,96562
78,full_graph78.csv,trail78.pickle,168,5.696428571428571,3.0,11.5,952434,57408,1009842,209,98486,98277
79,full_graph79.csv,trail79.pickle,168,5.767857142857143,3.0,11.5,948004,56502,1004506,335,95677,95342
80,full_graph80.csv,trail80.pickle,168,5.75,3.0,11.5,954229,56907,1011136,443,97447,97004
81,full_graph81.csv,trail81.pickle,168,5.863095238095238,3.0,12.5,954787,56839,1011626,382,96722,96340
82,full_graph82.csv,trail82.pickle,168,5.9851190476190474,3.0,11.0,940356,56594,996950,479,96964,96485
83,full_graph83.csv,trail83.pickle,168,5.9523809523809526,3.0,12.5,976908,57103,1034011,472,100194,99722
84,full_graph84.csv,trail84.pickle,168,5.913690476190476,3.0,11.5,933691,56716,990407,510,96268,95758
85,full_graph85.csv,trail85.pickle,168,5.845238095238095,3.0,12.5,971231,56842,1028073,268,97397,97129
86,full_graph86.csv,trail86.pickle,168,6.247023809523809,3.0,12.5,966735,56926,1023661,323,97603,97280
87,full_graph87.csv,trail87.pickle,168,5.851190476190476,3.0,11.5,967894,57236,1025130,263,96937,96674
88,full_graph88.csv,trail88.pickle,168,6.211309523809524,3.0,11.0,950989,57135,1008124,375,98575,98200
89,full_graph89.csv,trail89.pickle,168,6.336309523809524,3.0,14.5,963008,56613,1019621,366,96696,96330
90,full_graph90.csv,trail90.pickle,168,6.244047619047619,3.0,15.0,944893,56732,1001625,501,98382,97881
91,full_graph91.csv,trail91.pickle,168,6.482142857142857,3.0,17.0,975805,57156,1032961,337,98493,98156
92,full_graph92.csv,trail92.pickle,168,6.303571428571429,3.0,13.5,938765,56746,995511,237,97114,96877
93,full_graph93.csv,trail93.pickle,168,6.348214285714286,3.0,13.0,971798,57131,1028929,522,98717,98195
94,full_graph94.csv,trail94.pickle,168,6.526785714285714,3.0,13.5,946506,57208,1003714,127,98876,98749
95,full_graph95.csv,trail95.pickle,168,6.779761904761905,3.0,16.0,963546,57018,1020564,75,97540,97465
96,full_graph96.csv,trail96.pickle,168,6.541666666666667,3.0,15.5,937076,57302,994378,570,97946,97376
97,full_graph97.csv,trail97.pickle,168,6.678571428571429,3.0,15.5,985614,57759,1043373,22,99401,99379
98,full_graph98.csv,trail98.pickle,168,6.583333333333333,3.0,14.0,931882,57316,989198,534,96830,96296
99,full_graph99.csv,trail99.pickle,168,6.625,3.0,13.5,986099,56953,1043052,239,98795,98556
100,full_graph100.csv,trail100.pickle,168,6.619047619047619,3.0,12.5,947986,57164,1005150,497,98055,97558
